Player,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
Emiliano Martínez,GK,29,7.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches,7956236f
Lionel Messi,FW,34,7.7,5,3,1,3,1,0,2,0.0,2,2,0,2,0,5,0,0,Matches,d70ce98e
Nicolás Otamendi,DF,34,7.7,10,6,7,3,0,5,7,71.4,2,6,2,4,9,19,24,0,Matches,0d267745
Rodrigo De Paul,MF,28,6.7,11,6,6,4,1,8,13,61.5,5,8,0,8,7,18,3,0,Matches,162efffd
Nahuel Molina,DF,24,6.3,8,4,6,2,0,4,8,50.0,4,7,1,6,3,11,11,0,Matches,23610943
Alexis Mac Allister,MF,23,6.1,9,4,3,5,1,4,7,57.1,3,13,1,12,3,12,6,0,Matches,83d074ff
Cristian Romero,DF,24,6.1,5,3,4,1,0,4,8,50.0,4,6,4,2,4,9,26,0,Matches,a3d94a58
Enzo Fernández,MF,21,6.3,22,15,15,5,2,13,23,56.5,10,7,1,6,3,25,7,0,Matches,5ff4ab71
Julián Álvarez,FW,22,5.2,4,2,3,0,1,0,2,0.0,2,8,0,8,0,4,3,0,Matches,15ab5a2b
Marcos Acuña,DFFW,30,4.1,12,8,9,2,1,6,7,85.7,1,8,1,7,2,14,9,0,Matches,81442ecb
Ángel Di María,MFFW,34,3.2,3,1,2,0,1,1,3,33.3,2,3,0,3,1,4,0,0,Matches,19cda00b
Nicolás Tagliafico,DF,29,4.1,7,7,2,3,2,4,4,100.0,0,9,1,8,9,16,9,0,Matches,f0661424
Lisandro Martínez,DF,24,3.4,6,2,4,2,0,2,2,100.0,0,3,1,2,3,9,14,0,Matches,bac46a10
Lautaro Martínez,FW,24,2.7,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0,Matches,f7036e1c
Leandro Paredes,MF,27,2.5,10,4,4,6,0,3,4,75.0,1,0,0,0,3,13,4,0,Matches,dff153a4
Papu Gómez,MFFW,34,1.2,2,0,0,1,1,0,1,0.0,1,1,0,1,1,3,0,0,Matches,6e4df551
Gonzalo Montiel,DFMF,25,1.3,3,2,2,1,0,2,4,50.0,2,1,0,1,1,4,1,0,Matches,374d5158
Guido Rodríguez,MF,28,0.6,2,0,1,1,0,2,2,100.0,0,1,1,0,0,2,1,0,Matches,34e393f2
Germán Pezzella,DF,30,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,8c725b43
Exequiel Palacios,MFDF,23,0.6,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,1,0,Matches,e82adcab
Paulo Dybala,FW,28,0.2,3,1,0,2,1,0,0,,0,0,0,0,0,3,1,0,Matches,e0921a4f
Thiago Almada,MF,21,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,27f33438
Ángel Correa,MF,27,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches,01eb744d
Juan Foyth,DF,24,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,6c7762c3
Squad Total,,27.5,7.7,123,69,70,41,12,58,99,58.6,41,84,14,70,52,175,125,0,,-9999
Opponent Total,,27.5,7.7,127,68,64,53,10,46,91,50.5,45,73,15,58,71,198,123,2,,-9999