Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
2022-11-22,13:00 (05:00),Group stage,Tue,Neutral,L,1,2,sa Saudi Arabia,2,2,0,0.0,0,1.0,-1.0,0,0,0,0,1,3,33.3,19,6,15.8,25.1,3,0.0,17.3,8,1,12.5,0,5.0,Match Report
2022-11-26,22:00 (14:00),Group stage,Sat,Neutral,W,2,0,mx Mexico,1,0,1,100.0,1,0.3,+0.3,0,0,0,0,1,10,10.0,21,4,42.9,36.3,6,16.7,27.0,10,2,20.0,1,14.0,Match Report
2022-11-30,22:00 (14:00),Group stage,Wed,Neutral,W,2,0,pl Poland,0,0,0,,1,0.0,0.0,0,0,0,0,1,3,33.3,12,6,25.0,25.9,2,0.0,18.0,4,0,0.0,0,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-03,22:00 (14:00),Round of 16,Sat,Neutral,W,2,1,au Australia,1,1,1,0.0,0,0.5,+0.5,0,0,0,0,3,10,30.0,27,2,33.3,33.2,4,25.0,33.8,12,1,8.3,0,11.3,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-09,22:00 (14:00),Quarter-finals,Fri,Neutral,D,2 (4),2 (3),nl Netherlands,2,2,0,0.0,0,0.4,-1.6,0,0,0,0,2,17,11.8,27,7,44.4,38.6,9,55.6,47.0,21,4,19.0,0,9.4,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-13,22:00 (14:00),Semi-finals,Tue,Neutral,W,3,0,hr Croatia,2,0,2,100.0,1,0.4,+0.4,0,0,0,0,6,18,33.3,15,2,66.7,45.7,9,88.9,65.1,15,3,20.0,2,12.0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18,18:00 (10:00),Final,Sun,Neutral,D,3 (4),3 (2),fr France,5,3,2,80.0,0,2.8,-0.2,2,2,0,0,1,17,5.9,26,7,42.3,33.5,6,100.0,65.8,18,1,5.6,2,20.3,Match Report
,,,,,4-2-1,15,8,,13,8,6,53.8,3,5.4,-1.6,2,2,0,0,15,78,19.2,147,34,38.8,34.3,39,53.8,45.9,88,12,13.6,5,12.8,