Player,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
Emiliano Martínez,GK,29,7.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7956236f
Lionel Messi,FW,34,7.7,7,27,13,48.1,3.52,1.70,0.11,0.23,20.9,3,4,5,6.6,2.7,0.10,+0.4,+0.3,Matches,d70ce98e
Nicolás Otamendi,DF,34,7.7,0,1,0,0.0,0.13,0.00,0.00,,12.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,0d267745
Rodrigo De Paul,MF,28,6.7,0,7,3,42.9,1.05,0.45,0.00,0.00,20.1,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches,162efffd
Nahuel Molina,DF,24,6.3,1,2,1,50.0,0.32,0.16,0.50,1.00,16.2,0,0,0,0.5,0.5,0.23,+0.5,+0.5,Matches,23610943
Alexis Mac Allister,MF,23,6.1,1,7,4,57.1,1.15,0.65,0.14,0.25,19.0,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches,83d074ff
Cristian Romero,DF,24,6.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a3d94a58
Enzo Fernández,MF,21,6.3,1,8,3,37.5,1.28,0.48,0.13,0.33,24.9,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches,5ff4ab71
Julián Álvarez,FW,22,5.2,4,11,8,72.7,2.13,1.55,0.36,0.50,12.2,0,0,0,2.6,2.6,0.24,+1.4,+1.4,Matches,15ab5a2b
Marcos Acuña,DFFW,30,4.1,0,2,0,0.0,0.48,0.00,0.00,,17.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,81442ecb
Ángel Di María,MFFW,34,3.2,1,6,3,50.0,1.87,0.94,0.17,0.33,20.7,0,0,0,0.6,0.6,0.11,+0.4,+0.4,Matches,19cda00b
Nicolás Tagliafico,DF,29,4.1,0,3,1,33.3,0.72,0.24,0.00,0.00,11.3,0,0,0,1.0,1.0,0.34,-1.0,-1.0,Matches,f0661424
Lisandro Martínez,DF,24,3.4,0,1,0,0.0,0.30,0.00,0.00,,10.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,bac46a10
Lautaro Martínez,FW,24,2.7,0,14,4,28.6,5.23,1.49,0.00,0.00,12.6,0,0,0,1.9,1.9,0.13,-1.9,-1.9,Matches,f7036e1c
Leandro Paredes,MF,27,2.5,0,1,1,100.0,0.40,0.40,0.00,0.00,30.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,dff153a4
Papu Gómez,MFFW,34,1.2,0,2,0,0.0,1.68,0.00,0.00,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,6e4df551
Gonzalo Montiel,DFMF,25,1.3,0,1,0,0.0,0.76,0.00,0.00,,27.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,374d5158
Guido Rodríguez,MF,28,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,34e393f2
Germán Pezzella,DF,30,0.7,0,1,0,0.0,1.50,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,8c725b43
Exequiel Palacios,MFDF,23,0.6,0,1,0,0.0,1.80,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,e82adcab
Paulo Dybala,FW,28,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e0921a4f
Thiago Almada,MF,21,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,27f33438
Ángel Correa,MF,27,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,01eb744d
Juan Foyth,DF,24,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6c7762c3
Squad Total,,27.5,7.7,15,95,41,43.2,12.39,5.35,0.12,0.27,18.2,3,4,5,15.1,11.3,0.12,-0.1,-0.3,,-9999
Opponent Total,,27.5,7.7,7,42,11,26.2,5.48,1.43,0.12,0.45,19.9,3,2,2,4.6,3.1,0.07,+2.4,+1.9,,-9999